,곡명,아티스트,앨범,좋아요수
121,I Love Sex (Feat. 조PD),싸이 (PSY),Psy From The Psycho World!,290
122,사우나 속으로 (feat. Masta Wu),싸이 (PSY),싸2,193
123,반말합시다,싸이 (PSY),3마이,676
124,SING (PSYmix) (with Ed Sheeran),싸이 (PSY),칠집싸이다,"3,654"
125,친구놈들아,싸이 (PSY),싸집,591
126,Basica 2.0,싸이 (PSY),싸2,99
127,성공의 어머니,싸이 (PSY),Psy From The Psycho World!,132
128,불륜,싸이 (PSY),Psy From The Psycho World!,119
129,HOT If I Had You (Radio Mix) (하이트진로d - 싸이 물풍선싸움편 광고 삽입곡),Adam Lambert,Playlist: The Very Best Of Adam Lambert,217
130,Bitch (Feat. Ray),싸이 (PSY),3마이,199
131,19금 원해,싸이 (PSY),싸2,139
132,DADDY + 江南Style(Live),싸이 (PSY),盖世英雄 第1期,50
133,비상 (飛上) (Vocal 싸이(Psy)),신승훈,20th Anniversary,196
134,빤빠라,싸이 (PSY),3마이,256
135,노크 (Feat. IVY),싸이 (PSY),싸집,460
136,좆뱅이신사,Bounce,Bounce,533
137,하늘 (with 넥스트),싸이 (PSY),박노해 노동의 새벽 20 주년 헌정음반,167
138,어땠을까 (MR),INSTMR,MR 반주 싸이6甲 Part.1,39
139,투 싸이 (TO PSY) (Inst.),싸이버거,투 싸이 (TO PSY),12
140,No.1,싸이 (PSY),Psy From The Psycho World!,117
141,내 세상,싸이 (PSY),대물 OST,533
142,1등 (Talk Box 유건형),싸이 (PSY),싸2,137
143,"Life (Feat. R.jay, Yota, DM, Y.Kwan, Small)",싸이 (PSY),Psy From The Psycho World!,193
144,뜨거운 안녕 (MR),INSTMR,MR 반주 싸이6甲 Part.1,21
145,Right Now (싸이),K-Pop Orchestral Ensemble,K-Pop Goes Classical,9
146,싸이코 파티,싸이 (PSY),싸집,163
147,19금 딜레마,싸이 (PSY),싸2,143
148,계집녀,싸이 (PSY),Psy From The Psycho World!,109
149,퀸 (Feat. 박재은),싸이 (PSY),3마이,169
150,난장 Blues,싸이 (PSY),3마이,183
151,Power,싸이 (PSY),로펌 (SBS드라마스페셜),107
152,얼씨구,싸이 (PSY),2006 올나잇스탠드 LIVE & DVD,194
153,"Intro (feat. Masta Wu, Jed, 하대환, Ray Jay, 요한)",싸이 (PSY),싸2,82
154,"Carolling (Feat.싸이,허니패밀리 외)",조pd (ZoPD),DJ처리의 Christmas 쏭쏭쏭,12
155,내 세상 (Inst.),싸이 (PSY),대물 OST,71
156,Outro (Back To The PSYcho World!),싸이 (PSY),3마이,127
157,"19금 Yes, I Am",싸이 (PSY),싸2,115
158,Upskail Phenomenon,싸이 (PSY),Psy From The Psycho World!,88
159,"(MR 반주곡) 아름다운이별2 (싸이,이재훈)",Various Artists,MR반주곡  15집,9
160,거짓말,전파사,억겁의 싸이-키,22
161,Sunny Fields (LG로보싸이킹 TV광고 '오토 무빙' 편 배경음악),Jose Le Gall,Shiny And Happy,33
162,생,싸이 (PSY),2006 올나잇스탠드 LIVE & DVD,120
163,"로얄패밀리 (Feat. Kirk, 김우근)",싸이 (PSY),3마이,138
164,바쳐 (Feat. 요한),싸이 (PSY),3마이,137
165,동거동락,싸이 (PSY),Psy From The Psycho World!,100
166,성냥팔이 소녀,싸이 (PSY),Psy From The Psycho World!,109
167,Mordern,싸이 (PSY),Psy From The Psycho World!,85
168,보름달,전파사,억겁의 싸이-키,8
169,ALARM,싸이 (PSY),싸집,152
170,Skit - 첩보 1,싸이 (PSY),Remake & Mix 18번,118
171,Freedom,싸이 (PSY),Psy From The Psycho World!,91
172,Lady,싸이 (PSY),Psy From The Psycho World!,128
173,Intro (Feat. Ray),싸이 (PSY),3마이,171
174,생,싸이 (PSY),싸2,152
175,나에게 맡겨봐,싸이 (PSY),Psy From The Psycho World!,113
