거리구간,카페수,비율(%)
0~50m,1850,6.7889908256880735
50~100m,3174,11.647706422018349
100~300m,11277,41.38348623853211
300~500m,5513,20.23119266055046
500m~1km,4644,17.042201834862386
1km 이상,792,2.906422018348624
