브랜드명,매장수,평균거리_m,중앙값거리_m,최소거리_m,최대거리_m,100m이내비율(%),300m이내비율(%)
커피빈,240,125.7506538208744,99.03592393458455,0.3893250796392682,921.6050252184793,50.416666666666664,94.58333333333333
할리스,115,212.21223981749165,133.00539445950216,31.331040858511635,1071.3482246387975,33.91304347826087,80.0
텐퍼센트커피,87,225.0470178143229,152.99381901481863,21.15685254540388,1023.8786905556058,24.137931034482758,78.16091954022988
매머드커피,450,239.95538129769318,160.38691213896954,12.05101069011691,3000.906804267962,26.666666666666668,75.77777777777777
투썸플레이스,376,244.80787138025923,149.60249947391034,3.845199154382147,2048.0937193793816,32.4468085106383,76.06382978723404
파스쿠찌,47,266.1462305232798,170.8783602864041,33.971985940264034,1015.3912373400237,21.27659574468085,70.2127659574468
탐앤탐스,65,273.45497972204953,144.129502172917,34.285890521496384,2036.3558096915033,29.230769230769234,72.3076923076923
빽다방,372,290.6658685729178,188.84615037124792,6.681414440434178,1509.2656949140282,25.268817204301076,69.35483870967742
메가커피,47,301.44881683512125,124.6232506869949,20.109658548761587,1699.4159271968413,29.78723404255319,74.46808510638297
컴포즈커피,458,325.6685394043075,224.92001718612687,2.6560972587476215,1891.3476335539399,21.397379912663755,61.135371179039296
기타커피전문점,24399,326.33120550813567,247.59705517618227,0.14472596617318878,3000.906804267962,17.459731956227714,58.539284396901515
더벤티,158,333.630026079244,227.5550683081642,9.705426510409005,2028.8807548980624,20.88607594936709,66.45569620253164
이디야,436,356.93966671023054,256.8212016456489,8.073784099361843,2216.424373967651,16.743119266055047,56.42201834862385
